Country,Value
Albania,2069
Argentina,174828
Armenia,1974
Australia,34008
Austria,46410
Azerbaijan,3796
Belarus,8022
Belgium,45745
Bosnia-Herzegovina,10421
Bulgaria,6609
Canada,174319
Chile,34331
China,319299
Croatia,18759
Czech Republic,19676
Denmark,4408
Estonia,1347
Finland,7945
France,88453
Georgia,5099
Germany,374818
Greece,20366
Hungary,21657
Iceland,1261
India,499628
Ireland,8482
Israel,29526
Italy,212997
Japan,901245
Kazakhstan,12008
Korea,357963
Latvia,4241
Liechtenstein,114
Lithuania,3530
Luxembourg,1217
Malta,13727
Mexico,33241
Moldova,4197
"Montenegro, Republic of",1520
Netherlands,4291
New Zealand,10959
North Macedonia,6357
Norway,9338
Poland,38832
Portugal,47302
Romania,34791
Russia,199431
Serbia,19982
Slovak Republic,6570
Slovenia,10454
Spain,122823
Sweden,23571
Switzerland,24564
Türkiye,116804
Ukraine,43850
United Kingdom,160080
Uzbekistan,7849
