Crash.ID,State,Month,Year,TimeOfDay,NumberOfAccidents
20211104,NSW,9,2021,Day,1
20214067,SA,9,2021,Day,1
20212053,Vic,8,2021,Night,1
20213023,Qld,8,2021,Night,1
20213160,Qld,7,2021,Day,1
20212029,Vic,7,2021,Day,1
20211012,NSW,7,2021,Night,1
20214044,SA,7,2021,Day,1
20211176,NSW,6,2021,Day,1
20213095,Qld,6,2021,Day,1
20211003,NSW,6,2021,Day,1
20212114,Vic,6,2021,Day,1
20212081,Vic,5,2021,Day,1
20213015,Qld,5,2021,Day,1
20213011,Qld,5,2021,Day,1
20211119,NSW,5,2021,Night,1
20211014,NSW,4,2021,Day,1
20213173,Qld,3,2021,Night,1
20214060,SA,3,2021,Day,1
20211143,NSW,3,2021,Day,1
20213152,Qld,3,2021,Day,1
20213106,Qld,2,2021,Night,1
20211186,NSW,2,2021,Day,1
20213050,Qld,2,2021,Day,1
20213167,Qld,2,2021,Night,1
20213109,Qld,1,2021,Day,1
20213028,Qld,1,2021,Day,1
20202123,Vic,12,2020,Day,1
20202020,Vic,12,2020,Day,1
20206011,Tas,12,2020,Night,1
20203191,Qld,12,2020,Night,1
20201207,NSW,11,2020,Night,1
20201159,NSW,11,2020,Day,1
20203186,Qld,11,2020,Day,1
20204039,SA,11,2020,Night,1
20202012,Vic,10,2020,Night,1
20201003,NSW,10,2020,Day,1
20202027,Vic,10,2020,Night,1
20203220,Qld,10,2020,Night,1
20202091,Vic,9,2020,Night,1
20202068,Vic,9,2020,Day,1
20203039,Qld,9,2020,Night,1
20201020,NSW,9,2020,Day,1
20202160,Vic,8,2020,Night,1
20201256,NSW,8,2020,Day,1
20201240,NSW,8,2020,Day,1
20207010,NT,7,2020,Night,1
20201220,NSW,7,2020,Day,1
20203176,Qld,7,2020,Day,1
20201201,NSW,7,2020,Day,1
20202120,Vic,7,2020,Night,1
20203031,Qld,6,2020,Night,1
20203215,Qld,6,2020,Day,1
20203017,Qld,6,2020,Night,1
20202119,Vic,5,2020,Night,1
20203105,Qld,5,2020,Day,1
20202013,Vic,5,2020,Night,1
20203084,Qld,5,2020,Night,1
20208004,ACT,4,2020,Day,1
20201192,NSW,4,2020,Day,1
20203089,Qld,4,2020,Day,1
20203048,Qld,4,2020,Day,1
20204019,SA,3,2020,Day,1
20203155,Qld,3,2020,Day,1
20202095,Vic,3,2020,Night,1
20204072,SA,3,2020,Night,1
20206018,Tas,2,2020,Night,1
20202056,Vic,2,2020,Day,1
20206019,Tas,2,2020,Night,1
20204009,SA,1,2020,Day,1
20206004,Tas,1,2020,Day,1
20201181,NSW,1,2020,Night,1
20202096,Vic,1,2020,Night,1
20192041,Vic,12,2019,Day,1
20191155,NSW,12,2019,Night,1
20197012,NT,12,2019,Day,1
20193097,Qld,12,2019,Night,1
20192017,Vic,12,2019,Night,1
20191126,NSW,11,2019,Night,1
20195049,WA,11,2019,Day,1
